species_or_node,posterior_mean
Sp1.Juncus filiformis,0.0538391078183822
Sp1.Node1073,0.0517102101292909
Sp1.Node42,0.0510280743944478
Sp1.Roemeria hispida,0.0499627832360143
Sp1.Node634,0.0498098666668518
Sp1.Node635,0.0495141822014795
Sp1.Node798,0.0492647307306863
Sp1.Galeopsis speciosa,0.0486164175690163
Sp1.Node85,0.0482001640796237
Sp1.Node81,0.0445739403195117
Sp1.Node503,0.044544245978615
Sp1.Node633,0.043595105873565
Sp1.Roemeria argemone,0.0423165375109602
Sp1.Saxifraga tridactylites,0.0421904002120889
Sp1.Node524,0.0395761534323499
Sp1.Node636,0.0391765788453754
Sp1.Node469,0.0353214773726493
Sp1.Node470,0.0327778255073316
Sp1.Node1015,0.0268584210982182
Sp1.Node468,0.0257007892215037
Sp1.Potentilla anglica,0.0256782361554321
Sp1.Potentilla reptans,0.0256106738009699
Sp1.Node135,0.0255398639455613
Sp1.Node9,0.0215957121885878
Sp1.Fumaria officinalis,0.0215032906069154
Sp1.Node465,0.018960480794518
Sp1.Node644,0.0183736645816169
Sp1.Holcus lanatus,0.0178683429656469
Sp1.Node464,0.0163148255307311
Sp1.Node725,0.0149626134024247
Sp1.Node482,0.0136516490851758
Sp1.Node467,0.0130998462685445
Sp1.Node466,0.0125154865073287
Sp1.Node874,0.00951037379066476
Sp1.Holcus mollis,0.0069708532445308
Sp1.Stachys officinalis,0.00334509532230363
Sp1.Gentianella germanica,0.00321171195030103
Sp1.Node802,0.00243968368373425
Sp1.Gentianella amarella,0.00169262404478617
Sp1.Potentilla erecta,0.00157394709690365
Sp1.Node637,-0.000981897722459257
Sp1.Node795,-0.00271641288925714
Sp1.Node588,-0.00306388629365489
Sp1.Node589,-0.00325791993185366
Sp1.Vaccinium oxycoccos,-0.00601768431239415
Sp1.Vaccinium uliginosum,-0.00686554187482892
Sp1.Node532,-0.0078877487152427
Sp1.Stachys palustris,-0.00920035537335026
Sp1.Stachys sylvatica,-0.0093508112194489
Sp1.Node490,-0.00938620882650619
Sp1.Vaccinium microcarpum,-0.0105959974581445
Sp1.Node103,-0.0113851476360491
Sp1.Node134,-0.0122151730015052
Sp1.Node791,-0.0128038343753445
Sp1.Fumaria densiflora,-0.0129124110037578
Sp1.Fumaria parviflora,-0.0132427177870241
Sp1.Node790,-0.0134638982429675
Sp1.Fumaria bastardii,-0.0135043225704947
Sp1.Node2,-0.0143374590707005
Sp1.Node492,-0.0150038734912238
Sp1.Node788,-0.0150048973086804
Sp1.Fumaria muralis,-0.0156303475203136
Sp1.Fumaria vaillantii,-0.0168379893605929
Sp1.Pedicularis sylvatica,-0.018327327216254
Sp1.Node789,-0.0200757622681623
Sp1.Node787,-0.0213499139325732
Sp1.Gentianella campestris,-0.0224460177203295
Sp1.Kickxia elatine,-0.0237512027091847
Sp1.Node3,-0.0243310100152936
Sp1.Cirsium palustre,-0.0254436838024524
Sp1.Cirsium acaule,-0.0260780217042292
Sp1.Cirsium tuberosum,-0.0265230432133705
Sp1.Node475,-0.0265515573495116
Sp1.Node486,-0.0274335622663589
Sp1.Node86,-0.0286509903685974
Sp1.Node476,-0.0294716538765385
Sp1.Cirsium vulgare,-0.0309182210106955
Sp1.Kickxia spuria,-0.0311520249709383
Sp1.Node381,-0.0313857666966938
Sp1.Node382,-0.0315967662559853
Sp1.Node380,-0.0328038833534384
Sp1.Node379,-0.0328396405267196
Sp1.Catapodium rigidum,-0.0338127655488757
Sp1.Ceratophyllum submersum,-0.0338250335069176
Sp1.Node377,-0.0343880779038597
Sp1.Cirsium arvense,-0.0344500015664045
Sp1.Cirsium dissectum,-0.0345352293767083
Sp1.Node378,-0.0346668332498563
Sp1.Node573,-0.0347645436673679
Sp1.Cirsium heterophyllum,-0.0353982449711455
Sp1.Galeopsis ladanum,-0.0355746525572918
Sp1.Node483,-0.0365350922838785
Sp1.Catapodium marinum,-0.0366626361144748
Sp1.Euphorbia exigua,-0.0367485771419404
Sp1.Ruppia maritima,-0.0369361751896287
Sp1.Node489,-0.0369512342338799
Sp1.Node65,-0.0372345639289838
Sp1.Node1103,-0.0374292324450427
Sp1.Galeopsis segetum,-0.0374341248751243
Sp1.Node260,-0.0374814214026319
Sp1.Node259,-0.0375986552123802
Sp1.Pedicularis palustris,-0.0377874253143387
Sp1.Node792,-0.0382269662687596
Sp1.Ceratophyllum demersum,-0.0388547900494049
Sp1.Node801,-0.0403692364951862
Sp1.Node580,-0.0420820404050955
Sp1.Node858,-0.0436836142187238
Sp1.Node258,-0.0452589560628366
Sp1.Ruppia spiralis,-0.0452817845462787
Sp1.Node50,-0.0498184614117728
Sp1.Nasturtium officinale,-0.0502058889529504
Sp1.Nasturtium microphyllum,-0.0503401121970028
Sp1.Node138,-0.0518474495196226
Sp1.Stachys arvensis,-0.0522848663288927
Sp1.Node499,-0.0523110313869222
Sp1.Carduus crispus,-0.0524282002998039
Sp1.Geranium molle,-0.0539374977589567
Sp1.Carduus nutans,-0.0544774185782834
Sp1.Node375,-0.0567492474905049
Sp1.Arctium lappa,-0.0568026089361344
Sp1.Saxifraga hypnoides,-0.0572954609826988
Sp1.Plantago lanceolata,-0.0575758227867637
Sp1.Node553,-0.0577007283110254
Sp1.Node487,-0.0590563910884239
